"conceptURI","code_xml","code_ted","op_code"
"http://publications.europa.eu/resource/authority/language/GLG","gl","GL","GLG"
"http://publications.europa.eu/resource/authority/language/GLA","gd","GD","GLA"
"http://publications.europa.eu/resource/authority/language/BUL","bg","BG","BUL"
"http://publications.europa.eu/resource/authority/language/CES","cs","CS","CES"
"http://publications.europa.eu/resource/authority/language/DAN","da","DA","DAN"
"http://publications.europa.eu/resource/authority/language/DEU","de","DE","DEU"
"http://publications.europa.eu/resource/authority/language/ELL","el","EL","ELL"
"http://publications.europa.eu/resource/authority/language/ENG","en","EN","ENG"
"http://publications.europa.eu/resource/authority/language/EST","et","ET","EST"
"http://publications.europa.eu/resource/authority/language/FIN","fi","FI","FIN"
"http://publications.europa.eu/resource/authority/language/FRA","fr","FR","FRA"
"http://publications.europa.eu/resource/authority/language/GLE","ga","GA","GLE"
"http://publications.europa.eu/resource/authority/language/HRV","hr","HR","HRV"
"http://publications.europa.eu/resource/authority/language/HUN","hu","HU","HUN"
"http://publications.europa.eu/resource/authority/language/ITA","it","IT","ITA"
"http://publications.europa.eu/resource/authority/language/LAV","lv","LV","LAV"
"http://publications.europa.eu/resource/authority/language/LIT","lt","LT","LIT"
"http://publications.europa.eu/resource/authority/language/MLT","mt","MT","MLT"
"http://publications.europa.eu/resource/authority/language/NLD","nl","NL","NLD"
"http://publications.europa.eu/resource/authority/language/NOR","no","NO","NOR"
"http://publications.europa.eu/resource/authority/language/POL","pl","PL","POL"
"http://publications.europa.eu/resource/authority/language/POR","pt","PT","POR"
"http://publications.europa.eu/resource/authority/language/RON","ro","RO","RON"
"http://publications.europa.eu/resource/authority/language/SLK","sk","SK","SLK"
"http://publications.europa.eu/resource/authority/language/SLV","sl","SL","SLV"
"http://publications.europa.eu/resource/authority/language/SPA","es","ES","SPA"
"http://publications.europa.eu/resource/authority/language/SWE","sv","SV","SWE"
"http://publications.europa.eu/resource/authority/language/ISL","is","IS","ISL"
"http://publications.europa.eu/resource/authority/language/SRP","sr","SR","SRP"
"http://publications.europa.eu/resource/authority/language/MKD","mk","MK","MKD"
"http://publications.europa.eu/resource/authority/language/KOR","ko","KO","KOR"
"http://publications.europa.eu/resource/authority/language/EUS","eu","EU","EUS"
"http://publications.europa.eu/resource/authority/language/JPN","ja","JA","JPN"
"http://publications.europa.eu/resource/authority/language/LTZ","lb","LB","LTZ"
"http://publications.europa.eu/resource/authority/language/CAT","ca","CA","CAT"
"http://publications.europa.eu/resource/authority/language/SQI","sq","SQ","SQI"
"http://publications.europa.eu/resource/authority/language/HEB","he","HE","HEB"
"http://publications.europa.eu/resource/authority/language/ARA","ar","AR","ARA"
"http://publications.europa.eu/resource/authority/language/ZHO","zh","ZH","ZHO"
"http://publications.europa.eu/resource/authority/language/TUR","tr","TR","TUR"
"http://publications.europa.eu/resource/authority/language/MSA","ms","MS","MSA"
