,created_at,oid,format,type,title,filename,content,cm_rule,valid,unverifiable,invalid,error,warning,unknown
0,2025-04-24 01:10:59.317141+00:00,68098fa360517da35cc82642,RQ,cm_assertion,ND-Root,cm_assertion_680983559090eed3deccc9d1.rq,"#title: ND-Root
#description: The corresponding XML element is /*. The expected ontology instances are epo: epo:Notice .
#xpath: /*

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this a epo:Notice . 
}","{'sdk_element_id': 'ND-Root', 'sdk_element_title': None, 'sdk_element_xpath': '/*', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
1,2025-04-24 01:10:59.317269+00:00,68098fa360517da35cc82643,RQ,cm_assertion,ND-Root,cm_assertion_680983559090eed3deccc9d2.rq,"#title: ND-Root
#description: The corresponding XML element is /*. The expected ontology instances are epo: epo-not:CompetitionNotice .
#xpath: /*

PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:CompetitionNotice .
	?this a epo-not:CompetitionNotice . 
}","{'sdk_element_id': 'ND-Root', 'sdk_element_title': None, 'sdk_element_xpath': '/*', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='competition' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 CEI', text())]))"", 'meets_xpath_condition': True}}",22,0,0,0,0,0
2,2025-04-24 01:10:59.317358+00:00,68098fa360517da35cc82644,RQ,cm_assertion,ND-Root,cm_assertion_680983559090eed3deccc9d3.rq,"#title: ND-Root
#description: The corresponding XML element is /*. The expected ontology instances are epo: epo-not:ResultNotice .
#xpath: /*

PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:ResultNotice .
	?this a epo-not:ResultNotice . 
}","{'sdk_element_id': 'ND-Root', 'sdk_element_title': None, 'sdk_element_xpath': '/*', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='result' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('29 30 31 32 33 34 35 36 37 T02', text())]))"", 'meets_xpath_condition': True}}",22,0,0,0,0,0
3,2025-04-24 01:10:59.317481+00:00,68098fa360517da35cc82645,RQ,cm_assertion,ND-Root,cm_assertion_680983559090eed3deccc9d4.rq,"#title: ND-Root
#description: The corresponding XML element is /*. The expected ontology instances are epo: epo-not:PlanningNotice .
#xpath: /*

PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:PlanningNotice .
	?this a epo-not:PlanningNotice . 
}","{'sdk_element_id': 'ND-Root', 'sdk_element_title': None, 'sdk_element_xpath': '/*', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='planning' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('1 2 3 4 5 6 7 8 9 T01', text())]))"", 'meets_xpath_condition': True}}",21,0,1,0,0,0
4,2025-04-24 01:10:59.317577+00:00,68098fa360517da35cc82646,RQ,cm_assertion,ND-Root,cm_assertion_680983569090eed3deccc9d5.rq,"#title: ND-Root
#description: The corresponding XML element is /*. The expected ontology instances are epo: epo-not:DirectAwardPrenotificationNotice .
#xpath: /*

PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:DirectAwardPrenotificationNotice .
	?this a epo-not:DirectAwardPrenotificationNotice . 
}","{'sdk_element_id': 'ND-Root', 'sdk_element_title': None, 'sdk_element_xpath': '/*', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='dir-awa-pre' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('25 26 27 28', text())]))"", 'meets_xpath_condition': True}}",22,0,0,0,0,0
5,2025-04-24 01:10:59.317672+00:00,68098fa360517da35cc82647,RQ,cm_assertion,ND-Root,cm_assertion_680983569090eed3deccc9d6.rq,"#title: ND-Root
#description: The corresponding XML element is /*. The expected ontology instances are epo: epo-not:ContractModificationNotice .
#xpath: /*

PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:ContractModificationNotice .
	?this a epo-not:ContractModificationNotice . 
}","{'sdk_element_id': 'ND-Root', 'sdk_element_title': None, 'sdk_element_xpath': '/*', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='cont-modif' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('38 39 40', text())]))"", 'meets_xpath_condition': True}}",22,0,0,0,0,0
6,2025-04-24 01:10:59.317792+00:00,68098fa360517da35cc82648,RQ,cm_assertion,BT-02-notice,cm_assertion_680983569090eed3deccc9d7.rq,"#title: BT-02-notice
#description: The corresponding XML element is /*/cbc:NoticeTypeCode. The expected ontology instances are epo: epo:Notice / at-voc:notice-type .
#xpath: /*/cbc:NoticeTypeCode

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasNoticeType ?value . 
}","{'sdk_element_id': 'BT-02-notice', 'sdk_element_title': 'Notice Type', 'sdk_element_xpath': '/*/cbc:NoticeTypeCode', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
7,2025-04-24 01:10:59.317880+00:00,68098fa360517da35cc82649,RQ,cm_assertion,BT-03-notice,cm_assertion_680983569090eed3deccc9d8.rq,"#title: BT-03-notice
#description: The corresponding XML element is /*/cbc:NoticeTypeCode/@listName. The expected ontology instances are epo: epo:Notice / at-voc:form-type .
#xpath: /*/cbc:NoticeTypeCode/@listName

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasFormType ?value . 
}","{'sdk_element_id': 'BT-03-notice', 'sdk_element_title': 'Form Type', 'sdk_element_xpath': '/*/cbc:NoticeTypeCode/@listName', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
8,2025-04-24 01:10:59.317969+00:00,68098fa360517da35cc8264a,RQ,cm_assertion,BT-04-notice,cm_assertion_680983569090eed3deccc9d9.rq,"#title: BT-04-notice
#description: The corresponding XML element is /*/cbc:ContractFolderID. The expected ontology instances are epo: epo:Notice / epo:Procedure / adms:Identifier / rdf:PlainLiteral .
#xpath: /*/cbc:ContractFolderID

PREFIX adms: <http://www.w3.org/ns/adms#>
PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:refersToProcedure / adms:identifier / skos:notation ?value . 
}","{'sdk_element_id': 'BT-04-notice', 'sdk_element_title': 'Procedure Identifier', 'sdk_element_xpath': '/*/cbc:ContractFolderID', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",6,16,0,0,0,0
9,2025-04-24 01:10:59.318052+00:00,68098fa360517da35cc8264b,RQ,cm_assertion,BT-04-notice,cm_assertion_680983569090eed3deccc9da.rq,"#title: BT-04-notice
#description: The corresponding XML element is /*/cbc:ContractFolderID. The expected ontology instances are epo: epo-not:CompetitionNotice / epo:Procedure .
#xpath: /*/cbc:ContractFolderID

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:CompetitionNotice .
	?this epo:announcesProcedure ?value . 
}","{'sdk_element_id': 'BT-04-notice', 'sdk_element_title': 'Procedure Identifier', 'sdk_element_xpath': '/*/cbc:ContractFolderID', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='competition' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 CEI', text())]))"", 'meets_xpath_condition': True}}",6,16,0,0,0,0
10,2025-04-24 01:10:59.318135+00:00,68098fa360517da35cc8264c,RQ,cm_assertion,BT-04-notice,cm_assertion_680983569090eed3deccc9db.rq,"#title: BT-04-notice
#description: The corresponding XML element is /*/cbc:ContractFolderID. The expected ontology instances are epo: epo-not:DirectAwardPrenotificationNotice / epo:Procedure .
#xpath: /*/cbc:ContractFolderID

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX epo-not: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo-not:DirectAwardPrenotificationNotice .
	?this epo:announcesProcedure ?value . 
}","{'sdk_element_id': 'BT-04-notice', 'sdk_element_title': 'Procedure Identifier', 'sdk_element_xpath': '/*/cbc:ContractFolderID', 'xpath_condition': {'xpath_condition': ""/*/cbc:NoticeTypeCode/@listName='dir-awa-pre' or (/*/cbc:NoticeTypeCode/@listName='change' and exists(/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode[contains('25 26 27 28', text())]))"", 'meets_xpath_condition': True}}",6,16,0,0,0,0
11,2025-04-24 01:10:59.318218+00:00,68098fa360517da35cc8264d,RQ,cm_assertion,BT-701-notice,cm_assertion_680983569090eed3deccc9dc.rq,"#title: BT-701-notice
#description: The corresponding XML element is /*/cbc:ID[@schemeName='notice-id']. The expected ontology instances are epo: epo:Notice / adms:Identifier / rdf:PlainLiteral .
#xpath: /*/cbc:ID[@schemeName='notice-id']

PREFIX adms: <http://www.w3.org/ns/adms#>
PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this adms:identifier / skos:notation ?value . 
}","{'sdk_element_id': 'BT-701-notice', 'sdk_element_title': 'Notice Identifier', 'sdk_element_xpath': ""/*/cbc:ID[@schemeName='notice-id']"", 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
12,2025-04-24 01:10:59.318294+00:00,68098fa360517da35cc8264e,RQ,cm_assertion,BT-757-notice,cm_assertion_680983569090eed3deccc9dd.rq,"#title: BT-757-notice
#description: The corresponding XML element is /*/cbc:VersionID. The expected ontology instances are epo: epo:Notice / rdf:PlainLiteral .
#xpath: /*/cbc:VersionID

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasVersion ?value . 
}","{'sdk_element_id': 'BT-757-notice', 'sdk_element_title': 'Notice Version', 'sdk_element_xpath': '/*/cbc:VersionID', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
13,2025-04-24 01:10:59.318370+00:00,68098fa360517da35cc8264f,RQ,cm_assertion,BT-702(a)-notice,cm_assertion_680983569090eed3deccc9de.rq,"#title: BT-702(a)-notice
#description: The corresponding XML element is /*/cbc:NoticeLanguageCode. The expected ontology instances are epo: epo:Notice / at-voc:language .
#xpath: /*/cbc:NoticeLanguageCode

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasOfficialLanguage ?value . 
}","{'sdk_element_id': 'BT-702(a)-notice', 'sdk_element_title': 'Notice Official Language', 'sdk_element_xpath': '/*/cbc:NoticeLanguageCode', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
14,2025-04-24 01:10:59.318447+00:00,68098fa360517da35cc82650,RQ,cm_assertion,BT-702(b)-notice,cm_assertion_680983569090eed3deccc9df.rq,"#title: BT-702(b)-notice
#description: The corresponding XML element is /*/cac:AdditionalNoticeLanguage/cbc:ID. The expected ontology instances are epo: epo:Notice / at-voc:language .
#xpath: /*/cac:AdditionalNoticeLanguage/cbc:ID

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasOfficialLanguage ?value . 
}","{'sdk_element_id': 'BT-702(b)-notice', 'sdk_element_title': 'Notice Official Language', 'sdk_element_xpath': '/*/cac:AdditionalNoticeLanguage/cbc:ID', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",0,0,0,0,22,0
15,2025-04-24 01:10:59.318527+00:00,68098fa360517da35cc82651,RQ,cm_assertion,BT-05(a)-notice,cm_assertion_680983569090eed3deccc9e0.rq,"#title: BT-05(a)-notice
#description: The corresponding XML element is /*/cbc:IssueDate. The expected ontology instances are epo: epo:Notice / xsd:dateTime .
#xpath: /*/cbc:IssueDate

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasESenderDispatchDate ?value . 
}","{'sdk_element_id': 'BT-05(a)-notice', 'sdk_element_title': 'Notice Dispatch Date', 'sdk_element_xpath': '/*/cbc:IssueDate', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
16,2025-04-24 01:10:59.318607+00:00,68098fa360517da35cc82652,RQ,cm_assertion,BT-05(b)-notice,cm_assertion_680983569090eed3deccc9e1.rq,"#title: BT-05(b)-notice
#description: The corresponding XML element is /*/cbc:IssueTime. The expected ontology instances are epo: epo:Notice / xsd:dateTime .
#xpath: /*/cbc:IssueTime

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasESenderDispatchDate ?value . 
}","{'sdk_element_id': 'BT-05(b)-notice', 'sdk_element_title': 'Notice Dispatch Time', 'sdk_element_xpath': '/*/cbc:IssueTime', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
17,2025-04-24 01:10:59.318727+00:00,68098fa360517da35cc82653,RQ,cm_assertion,OPP-070-notice,cm_assertion_680983579090eed3deccc9ea.rq,"#title: OPP-070-notice
#description: The corresponding XML element is /*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode. The expected ontology instances are epo: epo:Notice .
#xpath: /*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this a ?type . FILTER(REGEX(STR(?type), ""http://data.europa.eu/a4g/ontology#Notice[0-9CEITX]+$"")) 
}","{'sdk_element_id': 'OPP-070-notice', 'sdk_element_title': 'Notice Subtype', 'sdk_element_xpath': '/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeSubType/cbc:SubTypeCode', 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",22,0,0,0,0,0
18,2025-04-24 01:10:59.318811+00:00,68098fa360517da35cc82654,RQ,cm_assertion,OPP-010-notice,cm_assertion_680983579090eed3deccc9ec.rq,"#title: OPP-010-notice
#description: The corresponding XML element is /*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Publication/efbc:NoticePublicationID[@schemeName='ojs-notice-id']. The expected ontology instances are epo: epo:Notice / rdf:PlainLiteral .
#xpath: /*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Publication/efbc:NoticePublicationID[@schemeName='ojs-notice-id']

PREFIX epo: <http://data.europa.eu/a4g/ontology#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

ASK WHERE { 
	?this rdf:type epo:Notice .
	?this epo:hasNoticePublicationNumber ?value . 
}","{'sdk_element_id': 'OPP-010-notice', 'sdk_element_title': 'Notice Publication Number', 'sdk_element_xpath': ""/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Publication/efbc:NoticePublicationID[@schemeName='ojs-notice-id']"", 'xpath_condition': {'xpath_condition': '', 'meets_xpath_condition': True}}",1,21,0,0,0,0
